id,index,name,first,weight,cname,imp,total,ratio,tratio,fratio
297,259,リジッドパラダイス,0,15,Rigid Paradise,,15,0,0.29,0
377,259,空飛ぶ巫女の不思議な毎日,0,15,空中飞翔的巫女不可思议的每天,,15,0,0.29,0
239,266,地霊達の起床,0,14,地灵们的起床,,14,0,0.27,0
262,266,時代親父とハイカラ少女,0,14,守旧老爹与前卫少女,（含心绮楼、深秘录版本）,14,0,0.27,0
71,268,Dream Land,2,15,Dream Land,,13,15.38,0.26,0.04
281,268,あなたの町の怪事件,2,15,你所在之城的怪事,,13,15.38,0.26,0.04
393,268,月面ツアーへようこそ,1,14,欢迎来到月面旅行团,,13,7.69,0.26,0.02
89,268,夢想時空,0,13,梦想时空,,13,0,0.26,0
203,268,封印されし神々,0,13,被封印的众神,,13,0,0.26,0
282,268,妖怪モダンコロニー,0,13,现代妖怪殖民地,（含三月精版本）,13,0,0.26,0
378,268,夜のデンデラ野を逝く,0,13,走在夜晚的莲台野,,13,0,0.26,0
220,275,プレイヤーズスコア,2,14,Player's Score,（含地灵殿、星莲船、大战争、神灵庙、辉针城版本）,12,16.67,0.24,0.04
291,275,欲深き霊魂,2,14,欲望深重的灵魂,,12,16.67,0.24,0.04
6,275,天使伝説,1,13,天使传说,,12,8.33,0.24,0.02
14,275,アイリス,1,13,鸢尾花,,12,8.33,0.24,0.02
51,275,Maple Dream...,1,13,Maple Dream...,,12,8.33,0.24,0.02
320,275,秘境のマーメイド,1,13,秘境的人鱼,（含天邪鬼版本）,12,8.33,0.24,0.02
95,275,真紅の少女 ～ Crimson Dead!!,0,12,绯红的少女 ～ Crimson Dead!!,,12,0,0.24,0
278,275,アンノウンＸ　～ Unfound Adventure,0,12,未知物Ｘ　～ Unfound Adventure,（含伊奘诺物质版本）,12,0,0.24,0
391,275,青木ヶ原の伝説,0,12,青木原的传说,,12,0,0.24,0
74,284,メイド幻想 ～ Icemilk Magic,3,14,女仆幻想 ～ Icemilk Magic,,11,27.27,0.22,0.06
55,284,時の風,1,12,时之风,,11,9.09,0.22,0.02
293,284,ゴーストリード,1,12,Ghost Lead,,11,9.09,0.22,0.02
21,284,幻夢界,0,11,幻梦界,,11,0,0.22,0
38,284,Dim. Dream,0,11,Dim. Dream,,11,0,0.22,0
384,284,幻想の永遠祭,0,11,幻想的永远祭,,11,0,0.22,0
418,284,花映塚 ～ after Higan Retour,0,11,花映塚 ～ after Higan Retour,,11,0,0.22,0
25,291,東方封魔録 ～ 幽幻乱舞,1,11,东方封魔录 ～ 幽幻乱舞,,10,10,0.2,0.02
73,291,禁じざるをえない遊戯,1,11,不可不禁止的游戏,,10,10,0.2,0.02
187,291,オリエンタルダークフライト,1,11,Oriental Dark Flight,,10,10,0.2,0.02
254,291,地霊達の帰宅,1,11,地灵们的归宅,,10,10,0.2,0.02
402,291,トロヤ群の密林,1,11,特洛伊群的密林,,10,10,0.2,0.02
462,291,エニグマティクドール ～ God Knows,0,10,神秘的人偶　～ God Knows,（含蓬莱人形版本）,10,0,0.2,0
476,291,巨大な影と小さな結末,0,10,巨大的影子与渺小的结局,,10,0,0.2,0
154,298,遍参,0,9,遍参,,9,0,0.18,0
241,298,封じられた妖怪 ～ Lost Place,0,9,被封印的妖怪　～ Lost Place,,9,0,0.18,0
334,298,不思議な不思議な道具達,0,9,非常非常神奇的道具们,,9,0,0.18,0
128,301,クリスタライズシルバー,2,10,Crystallize Silver,,8,25,0.16,0.04
3,301,The Positive and Negative,1,9,The Positive and Negative,,8,12.5,0.16,0.02
63,301,紅響曲 ～ Scarlet Phoneme,1,9,紅响曲 ～ Scarlet Phoneme,,8,12.5,0.16,0.02
96,301,裏切りの少女 ～ Judas Kiss,1,9,背叛的少女 ～ Judas Kiss,,8,12.5,0.16,0.02
255,301,エネルギー黎明 ～ Future Dream...,1,9,能源黎明 ～ Future Dream...,,8,12.5,0.16,0.02
295,301,門前の妖怪小娘,1,9,门前的妖怪小姑娘,,8,12.5,0.16,0.02
321,301,運河を行き交う人妖,1,9,往来于运河的人与妖,,8,12.5,0.16,0.02
421,301,夜だから眠れない,1,9,夜晚无法入睡,,8,12.5,0.16,0.02
475,301,蓬莱幻想 ～ far East,1,9,蓬莱幻想 ～ far East,,8,12.5,0.16,0.02
23,301,ひもろぎ、むらさきにもえ,0,8,神篱，如紫色般火焰燃烧,,8,0,0.16,0
28,301,戦車むすめのみるゆめ,0,8,战车娘的梦想,,8,0,0.16,0
42,301,夢幻遊戯 ～ Dream War,0,8,梦幻游戏 ～ Dream War,,8,0,0.16,0
92,301,プラスチックマインド,0,8,Plastic Mind,,8,0,0.16,0
97,301,the Last Judgement,0,8,the Last Judgement,,8,0,0.16,0
197,301,魂の花　～ Another Dream...,0,8,魂之花 ～ Another Dream...,,8,0,0.16,0
199,301,風の循環　～ Wind Tour,0,8,风的循环 ～ Wind Tour,,8,0,0.16,0
232,301,雲外蒼天,0,8,云外苍天,,8,0,0.16,0
317,301,官板黄昏新聞,0,8,官板黄昏新闻,,8,0,0.16,0
354,301,対蹠地の鐘,0,8,对跖点之钟,,8,0,0.16,0
361,320,湖は浄めの月光を映して,1,8,湖上倒映着洁净的月光,,7,14.29,0.13999999999999999,0.02
468,320,キュアリアス上海古牌,1,8,好奇的上海古牌,,7,14.29,0.13999999999999999,0.02
29,320,遠野の森,0,7,远野之森,,7,0,0.13999999999999999,0
94,320,禁断の魔法 ～ Forbidden Magic,0,7,禁忌的魔法 ～ Forbidden Magic,,7,0,0.13999999999999999,0
200,320,天狗が見ている　～ Black Eyes,0,7,天狗正凝视着 ～ Black Eyes,,7,0,0.13999999999999999,0
325,320,マジカルストーム,0,7,Magical Storm,,7,0,0.13999999999999999,0
352,320,七玉蒐集ショウダウン,0,7,七玉搜集大摊牌,,7,0,0.13999999999999999,0
373,320,神社から見える月,0,7,从神社所见之月,,7,0,0.13999999999999999,0
446,320,幻想科学　～ Doll's Phantom,0,7,幻想科学　～ Doll's Phantom,（含梦违科学世纪版本）,7,0,0.13999999999999999,0
93,329,メイプルワイズ,1,7,Maple Wise,,6,16.67,0.12,0.02
195,329,此岸の塚,1,7,此岸之塚,,6,16.67,0.12,0.02
290,329,春の氷精　- 静 -,1,7,春之冰精 -静-,,6,16.67,0.12,0.02
416,329,綿月のスペルカード　～ Lunatic Blue,1,7,绵月的符卡 ～ Lunatic Blue,,6,16.67,0.12,0.02
448,329,シルクロードアリス,1,7,Silk Road Alice,,6,16.67,0.12,0.02
49,329,東方の青い空,0,6,东方的蓝色天空,,6,0,0.12,0
61,329,装飾戦 ～ Decoration Battle,0,6,装饰战 ～ Decoration Battle,,6,0,0.12,0
144,329,春風の夢,0,6,春风之梦,,6,0,0.12,0
276,329,人形のある風景,0,6,人偶存在的风景,,6,0,0.12,0
350,329,明かされる深秘,0,6,被揭晓的深秘,,6,0,0.12,0
374,329,宇宙巫女帰還する,0,6,宇宙巫女归还,,6,0,0.12,0
380,329,古の冥界寺,0,6,古老的冥界寺,,6,0,0.12,0
423,329,サニーミルクの紅霧異変,0,6,桑尼米尔克的红雾异变,,6,0,0.12,0
428,329,二つの世界,0,6,两个世界,,6,0,0.12,0
467,329,AN ORDEAL FROM GOD,0,6,AN ORDEAL FROM GOD,（含幻想麻雀版本）,6,0,0.12,0
4,344,Highly Responsive to Prayers,1,6,Highly Responsive to Prayers,,5,20,0.1,0.02
43,344,魔法決戦！ ～ Fight it out!,1,6,魔法决战！ ～ Fight it out!,,5,20,0.1,0.02
105,344,久遠の楽園,1,6,永远的乐园,,5,20,0.1,0.02
150,344,夏明き,1,6,夏明,,5,20,0.1,0.02
9,344,魔鏡,0,5,魔镜,,5,0,0.1,0
10,344,the Legend of KAGE,0,5,the Legend of KAGE,,5,0,0.1,0
16,344,東方封魔録 ～ 浄土曼荼羅,0,5,东方封魔录 ～ 净土曼荼罗,,5,0,0.1,0
40,344,Maniacal Princess,0,5,Maniacal Princess,,5,0,0.1,0
161,344,珍客,0,5,稀客,,5,0,0.1,0
194,344,花の映る塚,0,5,映花之塚,,5,0,0.1,0
294,344,妖怪寺へようこそ,0,5,欢迎来到妖怪寺,,5,0,0.1,0
347,344,真実を知る者,0,5,知晓真相之人,,5,0,0.1,0
348,344,外界フォークロア,0,5,外界民俗,,5,0,0.1,0
351,344,オカルトアラカルト,0,5,灵异任你选,,5,0,0.1,0
415,344,妖怪宇宙旅行,0,5,妖怪宇宙旅行,,5,0,0.1,0
478,344,演者選択,0,5,出演者选择,,5,0,0.1,0
69,360,Lotus Love,1,5,Lotus Love,,4,25,0.08,0.02
81,360,Dreamy pilot,1,5,Dreamy pilot,,4,25,0.08,0.02
343,360,顕現した伝承の形,1,5,显现的传承形态,,4,25,0.08,0.02
441,360,機械サーカス　～ Reverie,1,5,机械马戏团　～ Reverie（Circus Reverie）,（含蓬莱人形版本）,4,25,0.08,0.02
459,360,"My Maid, Sweet Maid",1,5,"My Maid, Sweet Maid",,4,25,0.08,0.02
18,360,She's in a temper!!,0,4,She's in a temper!!,,4,0,0.08,0
22,360,死を賭して,0,4,以死相赌,,4,0,0.08,0
30,360,昔話わんだーらんど,0,4,传说中的仙境,,4,0,0.08,0
44,360,Sailor of Time,0,4,Sailor of Time,,4,0,0.08,0
87,360,Dream Express,0,4,Dream Express,,4,0,0.08,0
88,360,魔法陣 ～ Magic Square,0,4,魔法阵 ～ Magic Square,,4,0,0.08,0
283,360,ネメシスの要塞,0,4,复仇女神的要塞,,4,0,0.08,0
337,360,ミッドナイトスペルカード,0,4,Midnight Spell Card,,4,0,0.08,0
349,360,各々の結末,0,4,各自的结局,,4,0,0.08,0
412,360,ジャパニーズサーガ,0,4,Japanese Saga,,4,0,0.08,0
427,360,フェアリー冒険譚,0,4,妖精冒险谭,,4,0,0.08,0
447,360,少女神性　～ Pandora's Box,0,4,少女神性　～ Pandora's Box,,4,0,0.08,0
454,360,天鵝絨少女戰　～ Velvet Battle,0,4,天鹅绒少女战　～ Velvet Battle,,4,0,0.08,0
466,360,呑んべぇのレムリア,0,4,酒鬼的Lamuria,（含儚月抄版本）,4,0,0.08,0
469,360,妖々跋扈　～ Speed Fox!,0,4,妖妖跋扈　～ Speed Fox!,,4,0,0.08,0
231,380,冷吟閑酔,1,4,冷吟闲醉,,3,33.33,0.06,0.02
7,380,Oriental Magician,0,3,Oriental Magician,,3,0,0.06,0
20,380,やみのちから,0,3,黑暗的力量,,3,0,0.06,0
27,380,Extra Love,0,3,Extra Love,,3,0,0.06,0
33,380,封魔終演,0,3,封魔终演,,3,0,0.06,0
59,380,Witching Dream,0,3,Witching Dream,,3,0,0.06,0
65,380,霊戦 ～ Perdition crisis,0,3,灵战 ～ Perdition crisis,,3,0,0.06,0
83,380,Border Land,0,3,Border Land,,3,0,0.06,0
86,380,怪綺談 ～ Mystic Square,0,3,怪绮谈 ～ Mystic Square,,3,0,0.06,0
103,380,神社,0,3,神社,,3,0,0.06,0
163,380,戦迅,0,3,战迅,,3,0,0.06,0
164,380,禍機,0,3,祸机,,3,0,0.06,0
222,380,日常坐臥,0,3,日常坐卧,,3,0,0.06,0
261,380,スカイルーイン,0,3,Sky Ruin,,3,0,0.06,0
306,380,神社の新しい風,0,3,神社的新风,,3,0,0.06,0
314,380,丑三つ時の里,0,3,丑时三刻的村庄,,3,0,0.06,0
414,380,夜の鳩山を飛ぶ -Power MIX,0,3,飞越夜晚的鸠山 - Power MIX,,3,0,0.06,0
422,380,妖精燦々として,0,3,妖精灿烂的样子,,3,0,0.06,0
436,380,幻想帝都,0,3,幻想帝都,,3,0,0.06,0
463,380,Witch of Love Potion,0,3,Witch of Love Potion,（含蓬莱人形版本）,3,0,0.06,0
84,400,Magic Shop of Raspberry,1,3,Magic Shop of Raspberry,,2,50,0.04,0.02
48,400,久遠の夢,0,2,久远之梦,,2,0,0.04,0
56,400,スターボウドリーム,0,2,Starbow Dream,,2,0,0.04,0
57,400,Phantasmagoria,0,2,Phantasmagoria,,2,0,0.04,0
82,400,Incomplete Plot,0,2,Incomplete Plot,,2,0,0.04,0
99,400,世界の果て ～ World's End,0,2,世界的尽头 ～ World's End,,2,0,0.04,0
230,400,嘲りの遊戯,0,2,嘲讽的游戏,,2,0,0.04,0
274,400,伝説の巨神,0,2,传说的巨神,,2,0,0.04,0
280,400,ニュースハウンド,0,2,Newshound,,2,0,0.04,0
313,400,人気のない場所,0,2,无人气的场所,,2,0,0.04,0
376,400,人形の森,0,2,人偶之森,,2,0,0.04,0
434,400,フォルスストロベリー,0,2,False Strawberry,,2,0,0.04,0
442,400,カナベラルの夢幻少女,0,2,卡纳维拉尔角的梦幻少女,,2,0,0.04,0
452,400,タイトルドメイド,0,2,Titled Maid,,2,0,0.04,0
453,400,稀翁玉　～ Fairy Dance,0,2,稀翁玉　～ Fairy Dance,,2,0,0.04,0
470,400,宵闇の魔術師,0,2,黄昏的魔术师,,2,0,0.04,0
479,400,使われなかった場所,0,2,没用上的场所,,2,0,0.04,0
47,417,魔法鐘愛,0,1,魔法钟爱,,1,0,0.02,0
52,417,霊人の休日,0,1,灵人的休息日,,1,0,0.02,0
62,417,Break the Sabbath,0,1,Break the Sabbath,,1,0,0.02,0
76,417,Days,0,1,Days,,1,0,0.02,0
78,417,Arcadian Dream,0,1,Arcadian Dream,,1,0,0.02,0
79,417,幻想の住人,0,1,幻想的居民,,1,0,0.02,0
80,417,Lotus Road,0,1,Lotus Road,,1,0,0.02,0
85,417,Crescent Dream,0,1,Crescent Dream,,1,0,0.02,0
106,417,Mystic Dream,0,1,Mystic Dream,,1,0,0.02,0
107,417,Peaceful Romancer,0,1,Peaceful Romancer,,1,0,0.02,0
152,417,魔所,0,1,魔所,,1,0,0.02,0
153,417,月輪,0,1,月轮,,1,0,0.02,0
157,417,あゆのかぜ,0,1,东风,,1,0,0.02,0
158,417,森閑,0,1,森闲,,1,0,0.02,0
160,417,幽境,0,1,幽境,,1,0,0.02,0
162,417,紅夜,0,1,红夜,,1,0,0.02,0
225,417,風光明媚,0,1,风光明媚,,1,0,0.02,0
228,417,以魚駆蠅,0,1,以鱼驱蝇,,1,0,0.02,0
259,417,閉ざせし雲の通い路,0,1,封闭的云中通路,,1,0,0.02,0
271,417,妖怪寺,0,1,妖怪寺,,1,0,0.02,0
285,417,曲名不详,0,1,曲名不详,,1,0,0.02,0
312,417,人気のある場所,0,1,有人气的场所,,1,0,0.02,0
341,417,幻想郷ふしぎ発見,0,1,幻想乡不可思议发现,,1,0,0.02,0
353,417,公正なる奪い合い,0,1,公正的争夺,,1,0,0.02,0
420,417,サニールチルフレクション,0,1,Sunny Rutile Flection,,1,0,0.02,0
433,417,秋霜玉　～ Clockworks,0,1,秋霜玉　～ Clockworks,,1,0,0.02,0
439,417,天空アーミー,0,1,天空军团,,1,0,0.02,0
440,417,スプートニク幻夜,0,1,斯普特尼克幻夜,（含tGoM版本）,1,0,0.02,0
451,417,ハーセルヴズ,0,1,Herselves,,1,0,0.02,0
456,417,オルフェの詩　～ Pseudoclassic,0,1,俄耳甫斯的诗　～ Pseudoclassic,,1,0,0.02,0
457,417,新幻想　～ New Fantasy,0,1,新幻想　～ New Fantasy,,1,0,0.02,0
458,417,オルレアンの聖騎士,0,1,奥尔良的圣骑士,,1,0,0.02,0
32,449,陽落ちて,0,0,夕阳下落,,0,0,0,0
35,449,Selection,0,0,Selection,,0,0,0,0
53,449,勝利デモ,0,0,胜利的示范,,0,0,0,0
54,449,ゲームオーバー,0,0,Game Over,,0,0,0,0
60,449,Selene's light,0,0,Selene's light,,0,0,0,0
77,449,Peaceful,0,0,Peaceful,,0,0,0,0
90,449,霊天 ～ Spiritual Heaven,0,0,灵天 ～ Spiritual Heaven,,0,0,0,0
104,449,Endless,0,0,Endless,,0,0,0,0
108,449,魂の休らむ所,0,0,灵魂安息之所,,0,0,0,0
155,449,裏心,0,0,内心,,0,0,0,0
156,449,Intermezzo,0,0,间奏曲,,0,0,0,0
229,449,放縦不羈,0,0,放纵不羁,,0,0,0,0
279,449,空に浮かぶ物体Ｘ,0,0,空中飘浮的物体Ｘ,,0,0,0,0
315,449,本日の一面記事,0,0,本日的头版头条,,0,0,0,0
342,449,ボールのある日常,0,0,有珠子的日常,,0,0,0,0
344,449,時代の風の訪れ,0,0,时代风潮的造访,,0,0,0,0
345,449,価値がわからない,0,0,价值不明,,0,0,0,0
346,449,可能性を信じて,0,0,相信可能性,,0,0,0,0
425,449,スターヴォヤージュ2008,0,0,Star Voyage2008,,0,0,0,0
429,449,神域のかくれんぼ暮らし,0,0,神域的捉迷藏生活,,0,0,0,0
435,449,プリムローズシヴァ,0,0,Primrose Shiver,,0,0,0,0
437,449,ディザストラスジェミニ,0,0,Disastrous Gemini,,0,0,0,0
438,449,華の幻想　紅夢の宙,0,0,华之幻想 红梦之宙,,0,0,0,0
444,449,アンティークテラー,0,0,Antique Terror,,0,0,0,0
445,449,夢機械　～ Innocent Power,0,0,梦机械　～ Innocent Power,,0,0,0,0
455,449,Castle Explorer -in the Sky-,0,0,Castle Explorer -in the Sky-,,0,0,0,0
461,449,乙女戰士 ～ Heart of Valkyrie,0,0,少女战士　～ Heart of Valkyrie,,0,0,0,0
464,449,Magical and Hopeless,0,0,Magical and Hopeless,,0,0,0,0
465,449,Sacred Battle,0,0,Sacred Battle,,0,0,0,0
471,449,Magic of Life,0,0,Magic of Life,,0,0,0,0
472,449,Plastic Space,0,0,Plastic Space,,0,0,0,0
473,449,Inventive City,0,0,Inventive City,,0,0,0,0
