bv,url,title,author,published_date_display,published_date,date_precision,view_display,view_snapshot,danmaku_display,danmaku_snapshot,duration,content_category,poll_region_alignment,mentioned_rounds,character_mentions_cn,search_query,first_result_page,all_result_pages,observed_at,coverage_note
BV1MW411v7bY,https://www.bilibili.com/video/BV1MW411v7bY/,【第14回东方Project人气投票】想要睡觉的蕾米酱【高萌】,⑨实践梦想⑨,2018-01-15,2018-01-15,day,6.2万,62000,206,206,01:59,other_direct_poll_item,jp_poll,14,蕾米莉亚·斯卡蕾特,东方Project人气投票,20,20,2026-08-23,34个公开搜索结果页逐页采集；按BV去重；相关性由题名规则筛选，并非全站穷尽。
BV1zW411q7ks,https://www.bilibili.com/video/BV1zW411q7ks/,东方第十四回人气投票应援,萝莉控之王,2018-01-15,2018-01-15,day,5423,5423,91,91,04:31,support_or_mobilization,region_unspecified,,,东方Project人气投票,13,13,2026-08-23,34个公开搜索结果页逐页采集；按BV去重；相关性由题名规则筛选，并非全站穷尽。
BV1TW411v7to,https://www.bilibili.com/video/BV1TW411v7to/,【第14回东方Project人气投票】最凶最恶姐妹决定战,喜欢ACG的异世界人,2018-01-16,2018-01-16,day,4212,4212,55,55,02:30,other_direct_poll_item,jp_poll,14,,东方Project人气投票,8,8,2026-08-23,34个公开搜索结果页逐页采集；按BV去重；相关性由题名规则筛选，并非全站穷尽。
BV14W411v7RW,https://www.bilibili.com/video/BV14W411v7RW/,【弟14回东方Project人气投票】天子酱「向水之星倾注我的爱」,⑨实践梦想⑨,2018-01-18,2018-01-18,day,3393,3393,12,12,03:58,other_direct_poll_item,jp_poll,,比那名居天子,东方Project人气投票,33,33,2026-08-23,34个公开搜索结果页逐页采集；按BV去重；相关性由题名规则筛选，并非全站穷尽。
BV1DW411v7Md,https://www.bilibili.com/video/BV1DW411v7Md/,【第14回东方Project人气投票支援】 恋的Satisfaction,R十寻,2018-01-19,2018-01-19,day,3346,3346,13,13,03:21,support_or_mobilization,jp_poll,14,,东方Project人气投票,10,10,2026-08-23,34个公开搜索结果页逐页采集；按BV去重；相关性由题名规则筛选，并非全站穷尽。
BV17W411i77E,https://www.bilibili.com/video/BV17W411i77E/,【第14回东方Project人气投票】各角色的二种图表和排名,流泪哭哭馒,2018-01-22,2018-01-22,day,4.8万,48000,3183,3183,35:32,result_or_ranking,jp_poll,14,,东方Project人气投票,3,3,2026-08-23,34个公开搜索结果页逐页采集；按BV去重；相关性由题名规则筛选，并非全站穷尽。
BV12W411e7XC,https://www.bilibili.com/video/BV12W411e7XC/,【第14回东方Project人气投票】音乐部门 TOP50,流泪哭哭馒,2018-01-28,2018-01-28,day,2.3万,23000,1139,1139,17:30,result_or_ranking,jp_poll,14,,东方Project人气投票,2,2,2026-08-23,34个公开搜索结果页逐页采集；按BV去重；相关性由题名规则筛选，并非全站穷尽。
BV1UW411e7y4,https://www.bilibili.com/video/BV1UW411e7y4/,第十四回东方人气投票 个人向自制图签,愉悦君子惜,2018-01-28,2018-01-28,day,4981,4981,445,445,11:32,other_direct_poll_item,region_unspecified,,,东方Project人气投票,20,20,2026-08-23,34个公开搜索结果页逐页采集；按BV去重；相关性由题名规则筛选，并非全站穷尽。
BV1QW411n79J,https://www.bilibili.com/video/BV1QW411n79J/,【东方】日本第14回东方人气投票 音乐部分,文果真理报,2018-01-30,2018-01-30,day,6956,6956,762,762,39:30,other_direct_poll_item,region_unspecified,14,,东方Project人气投票,10,10,2026-08-23,34个公开搜索结果页逐页采集；按BV去重；相关性由题名规则筛选，并非全站穷尽。
BV1zW411s7RV,https://www.bilibili.com/video/BV1zW411s7RV/,【第14回东方Project人气投票】音乐排名200位~101位+α 组曲,流泪哭哭馒,2018-03-01,2018-03-01,day,1226,1226,2,2,09:56,result_or_ranking,jp_poll,14,,东方Project人气投票,33,33,2026-08-23,34个公开搜索结果页逐页采集；按BV去重；相关性由题名规则筛选，并非全站穷尽。
BV1sp411d7iW,https://www.bilibili.com/video/BV1sp411d7iW/,【东方】第14回东方Project人气投票 音乐部门排行 TOP100～51,木之本灵梦,2018-05-19,2018-05-19,day,,,,,25:26,result_or_ranking,jp_poll,14,,东方Project人气投票,7,7,2026-08-23,34个公开搜索结果页逐页采集；按BV去重；相关性由题名规则筛选，并非全站穷尽。
BV1ms411c7rY,https://www.bilibili.com/video/BV1ms411c7rY/,【数据可视化】历届日文东方系列人气投票前十名,蕾咪莉亚_抱头蹲防,2018-07-30,2018-07-30,day,,,,,,longitudinal_analysis,region_unspecified,,,东方Project人气投票,6,6,2026-08-23,34个公开搜索结果页逐页采集；按BV去重；相关性由题名规则筛选，并非全站穷尽。
BV1Rs411c7KY,https://www.bilibili.com/video/BV1Rs411c7KY/,【数据可视化】历届日文东方人气投票前二十名（重制版）,蕾咪莉亚_抱头蹲防,2018-07-31,2018-07-31,day,1.7万,17000,232,232,01:16,longitudinal_analysis,region_unspecified,,,东方Project人气投票,2,2,2026-08-23,34个公开搜索结果页逐页采集；按BV去重；相关性由题名规则筛选，并非全站穷尽。
BV1gs411w7Kv,https://www.bilibili.com/video/BV1gs411w7Kv/,[数据可视化]东方Project人气投票排行榜 - 日本区 - 1~14回 - 音乐部分,HinanawiSS,2018-07-31,2018-07-31,day,2.8万,28000,245,245,02:22,result_or_ranking,jp_poll,,,东方Project人气投票,11,11,2026-08-23,34个公开搜索结果页逐页采集；按BV去重；相关性由题名规则筛选，并非全站穷尽。
BV1Cs411w7mn,https://www.bilibili.com/video/BV1Cs411w7mn/,[数据可视化]东方Project人气投票排行榜 - 中国区 - 1~6回 - 音乐部分,HinanawiSS,2018-08-01,2018-08-01,day,,,,,,result_or_ranking,cn_poll,,红美铃,东方Project人气投票,6,6,2026-08-23,34个公开搜索结果页逐页采集；按BV去重；相关性由题名规则筛选，并非全站穷尽。
BV1uW411R7dv,https://www.bilibili.com/video/BV1uW411R7dv/,[数据可视化]东方Project人气投票排行榜 - 日本区 - 1~14回 - 21~40位 - 音乐部分,HinanawiSS,2018-08-15,2018-08-15,day,1884,1884,32,32,02:23,result_or_ranking,jp_poll,,,东方Project人气投票,7,7,2026-08-23,34个公开搜索结果页逐页采集；按BV去重；相关性由题名规则筛选，并非全站穷尽。
BV1GW41127SU,https://www.bilibili.com/video/BV1GW41127SU/,【数据可视化】东方角色历年人气投票排行,1AMRain,2018-10-04,2018-10-04,day,,,,,,longitudinal_analysis,region_unspecified,,,东方Project人气投票,9,9,2026-08-23,34个公开搜索结果页逐页采集；按BV去重；相关性由题名规则筛选，并非全站穷尽。
BV18W41127Q4,https://www.bilibili.com/video/BV18W41127Q4/,【东方MMDPV】蛛丝（第7回天朝东方人气投票 幽爱丽应援）,秋之里,2018-10-05,2018-10-05,day,,,,,,support_or_mobilization,region_unspecified,7,,东方Project人气投票,30,30,2026-08-23,34个公开搜索结果页逐页采集；按BV去重；相关性由题名规则筛选，并非全站穷尽。
BV16b411A757,https://www.bilibili.com/video/BV16b411A757/,第7回中文东方人气投票 音乐部分,北溟开江鱼,2018-10-30,2018-10-30,day,7476,7476,710,710,58:03,other_direct_poll_item,cn_poll,7,,东方Project人气投票,2,2,2026-08-23,34个公开搜索结果页逐页采集；按BV去重；相关性由题名规则筛选，并非全站穷尽。
BV1Wb411A7Kw,https://www.bilibili.com/video/BV1Wb411A7Kw/,【日中比较】东方Project人气投票 第七回 排行榜 替换BGM,小沙皮,2018-10-30,2018-10-30,day,1.7万,17000,527,527,14:08,longitudinal_analysis,jp_poll,,,东方Project人气投票,3,3,2026-08-23,34个公开搜索结果页逐页采集；按BV去重；相关性由题名规则筛选，并非全站穷尽。
BV1Mb411P7sR,https://www.bilibili.com/video/BV1Mb411P7sR/,【第七次天朝东方人气投票】原曲部分Top50榜单,迷途黑猫-橙,2018-10-31,2018-10-31,day,1.2万,12000,605,605,32:50,result_or_ranking,region_unspecified,,,东方Project人气投票,2,2,2026-08-23,34个公开搜索结果页逐页采集；按BV去重；相关性由题名规则筛选，并非全站穷尽。
BV1Hb411P7fh,https://www.bilibili.com/video/BV1Hb411P7fh/,【NICO弹幕】东方Project人气投票 第七回 排行榜【替换部分BGM】,星夜米兔,2018-11-02,2018-11-02,day,3155,3155,71,71,14:16,result_or_ranking,jp_poll,,,东方Project人气投票,7,7,2026-08-23,34个公开搜索结果页逐页采集；按BV去重；相关性由题名规则筛选，并非全站穷尽。
BV1db411w7px,https://www.bilibili.com/video/BV1db411w7px/,第七回东方中文人气投票组合部门TOP100,轻盈羽落雪,2018-11-04,2018-11-04,day,2606,2606,83,83,32:18,result_or_ranking,cn_poll,,,东方Project人气投票,7,7,2026-08-23,34个公开搜索结果页逐页采集；按BV去重；相关性由题名规则筛选，并非全站穷尽。
BV1Vt411Q7FL,https://www.bilibili.com/video/BV1Vt411Q7FL/,把东方project的人物称号翻译两遍（人气投票3-6）,炎氿羽天Official,2018-12-04,2018-12-04,day,1.7万,17000,195,195,02:55,other_direct_poll_item,region_unspecified,,,东方Project人气投票,14,14,2026-08-23,34个公开搜索结果页逐页采集；按BV去重；相关性由题名规则筛选，并非全站穷尽。
BV1ft411H7Sz,https://www.bilibili.com/video/BV1ft411H7Sz/,【第15回东方Project人气投票支援】【蓮台野夜行】Cosmos【东方MV】,殇韵月风,2019-01-15,2019-01-15,day,,,,,,support_or_mobilization,jp_poll,15,,东方Project人气投票,22,22,2026-08-23,34个公开搜索结果页逐页采集；按BV去重；相关性由题名规则筛选，并非全站穷尽。
BV1Zb411r7sq,https://www.bilibili.com/video/BV1Zb411r7sq/,【统计向】第七回中文东方Project人气投票·组合部门TOP100,山彦天妇罗,2019-01-31,2019-01-31,day,2.6万,26000,1660,1660,19:36,longitudinal_analysis,cn_poll,,,东方Project人气投票,3,3,2026-08-23,34个公开搜索结果页逐页采集；按BV去重；相关性由题名规则筛选，并非全站穷尽。
BV1rb41167is,https://www.bilibili.com/video/BV1rb41167is/,第15回东方Project人气投票 人妖部门（速报版）,伊吹小秋,2019-02-03,2019-02-03,day,,,,,,result_or_ranking,jp_poll,15,,东方Project人气投票,1,1,2026-08-23,34个公开搜索结果页逐页采集；按BV去重；相关性由题名规则筛选，并非全站穷尽。
BV1i4411j79N,https://www.bilibili.com/video/BV1i4411j79N/,【东方音乐】第15回东方Project人气投票 综合排名TOP50,木之本灵梦,2019-05-21,2019-05-21,day,,,,,,result_or_ranking,jp_poll,15,,东方Project人气投票,5,5,2026-08-23,34个公开搜索结果页逐页采集；按BV去重；相关性由题名规则筛选，并非全站穷尽。
BV1Yx411R7pF,https://www.bilibili.com/video/BV1Yx411R7pF/,把东方project的人物称号翻译两遍（人气投票7-16）,炎氿羽天Official,2019-06-30,2019-06-30,day,,,,,,other_direct_poll_item,region_unspecified,,,东方Project人气投票,12,12,2026-08-23,34个公开搜索结果页逐页采集；按BV去重；相关性由题名规则筛选，并非全站穷尽。
BV1e441197BR,https://www.bilibili.com/video/BV1e441197BR/,【东方mmd】【2019东方人气投票】灵梦，魔理沙等东方角色人气投票结果排行。,目玉烧饭团,2019-08-22,2019-08-22,day,3.1万,31000,878,878,09:36,meme_or_derivative,region_unspecified,,雾雨魔理沙;博丽灵梦,东方Project人气投票,7,7,2026-08-23,34个公开搜索结果页逐页采集；按BV去重；相关性由题名规则筛选，并非全站穷尽。
BV1oJ411w7JW,https://www.bilibili.com/video/BV1oJ411w7JW/,2016人气投票结果发表【东方】,路边の小石头,2019-09-14,2019-09-14,day,146,146,0,0,14:36,result_or_ranking,region_unspecified,,,东方Project人气投票,15,15,2026-08-23,34个公开搜索结果页逐页采集；按BV去重；相关性由题名规则筛选，并非全站穷尽。
BV1ZE411R7tP,https://www.bilibili.com/video/BV1ZE411R7tP/,【红石音乐x东方】【第8次东方人气投票应援】幻想的White Traveler,Sharia_Vanilla,2019-09-30,2019-09-30,day,2116,2116,4,4,04:59,support_or_mobilization,region_unspecified,,,东方Project人气投票,30,30,2026-08-23,34个公开搜索结果页逐页采集；按BV去重；相关性由题名规则筛选，并非全站穷尽。
BV1UE41127c9,https://www.bilibili.com/video/BV1UE41127c9/,第8回中文东方人气投票 音乐部分,北溟开江鱼,2019-10-23,2019-10-23,day,7614,7614,798,798,57:27,other_direct_poll_item,cn_poll,8,,东方Project人气投票,12,12,2026-08-23,34个公开搜索结果页逐页采集；按BV去重；相关性由题名规则筛选，并非全站穷尽。
BV1vE41127rX,https://www.bilibili.com/video/BV1vE41127rX/,[数据可视化]东方Project人气投票排行榜 - 中国地区 - 1~8回 - 1~20位 - 音乐部分,HinanawiSS,2019-10-23,2019-10-23,day,5019,5019,20,20,01:26,result_or_ranking,jp_poll,,红美铃,东方Project人气投票,7,7,2026-08-23,34个公开搜索结果页逐页采集；按BV去重；相关性由题名规则筛选，并非全站穷尽。
BV1gE41117Pm,https://www.bilibili.com/video/BV1gE41117Pm/,【5分钟看完东方人气投票】第八回角色及音乐篇,宇岚Ulaan,2019-10-25,2019-10-25,day,,,,,,other_direct_poll_item,region_unspecified,,,东方Project人气投票,9,9,2026-08-23,34个公开搜索结果页逐页采集；按BV去重；相关性由题名规则筛选，并非全站穷尽。
BV1hE41117RC,https://www.bilibili.com/video/BV1hE41117RC/,[数据可视化]东方Project人气投票排行榜 第八回 音乐部分前20位时间演进,HinanawiSS,2019-10-25,2019-10-25,day,3029,3029,7,7,02:05,result_or_ranking,jp_poll,,,东方Project人气投票,20,20,2026-08-23,34个公开搜索结果页逐页采集；按BV去重；相关性由题名规则筛选，并非全站穷尽。
BV1SE411b7ia,https://www.bilibili.com/video/BV1SE411b7ia/,[统计向]第八回中文东方Project人气投票结果(角色+部分问卷数据),小小萃香,2019-10-31,2019-10-31,day,2722,2722,125,125,19:27,rules_or_discussion,cn_poll,,,东方Project人气投票,5,5,2026-08-23,34个公开搜索结果页逐页采集；按BV去重；相关性由题名规则筛选，并非全站穷尽。
BV1jK411L787,https://www.bilibili.com/video/BV1jK411L787/,【日中比较】东方Project人气投票 第八回 排行榜,星夜米兔,2020-03-30,2020-03-30,day,2149,2149,49,49,15:30,longitudinal_analysis,jp_poll,,,东方Project人气投票,8,8,2026-08-23,34个公开搜索结果页逐页采集；按BV去重；相关性由题名规则筛选，并非全站穷尽。
BV13V411f7Aa,https://www.bilibili.com/video/BV13V411f7Aa/,【内嵌NICO弹幕】东方Project人气投票 第八回 排行榜,星夜米兔,2020-03-31,2020-03-31,day,1571,1571,13,13,15:30,result_or_ranking,jp_poll,,,东方Project人气投票,27,27,2026-08-23,34个公开搜索结果页逐页采集；按BV去重；相关性由题名规则筛选，并非全站穷尽。
BV1sZ4y1x7DL,https://www.bilibili.com/video/BV1sZ4y1x7DL/,【第15回东方Project人气投票】道中曲 TOP50,木之本灵梦,2020-04-09,2020-04-09,day,4298,4298,264,264,30:55,result_or_ranking,jp_poll,15,,东方Project人气投票,2,2,2026-08-23,34个公开搜索结果页逐页采集；按BV去重；相关性由题名规则筛选，并非全站穷尽。
BV1ok4y1r7FZ,https://www.bilibili.com/video/BV1ok4y1r7FZ/,把东方project的人物称号翻译两遍 人气投票17-30,炎氿羽天Official,2020-04-23,2020-04-23,day,4972,4972,93,93,03:05,other_direct_poll_item,region_unspecified,,,东方Project人气投票,14,14,2026-08-23,34个公开搜索结果页逐页采集；按BV去重；相关性由题名规则筛选，并非全站穷尽。
BV12v411z7pZ,https://www.bilibili.com/video/BV12v411z7pZ/,【越共集合】第16回东方Project人气投票简版图文教程,Antiluxe,2020-06-07,2020-06-07,day,,,,,,other_direct_poll_item,jp_poll,16,,东方Project人气投票,8,8,2026-08-23,34个公开搜索结果页逐页采集；按BV去重；相关性由题名规则筛选，并非全站穷尽。
BV1wz411i7s4,https://www.bilibili.com/video/BV1wz411i7s4/,第十六回东方人气投票应援曲,斩杀嫦娥的纯狐酱,2020-06-11,2020-06-11,day,1255,1255,1,1,12:35,support_or_mobilization,region_unspecified,,,东方Project人气投票,13,13,2026-08-23,34个公开搜索结果页逐页采集；按BV去重；相关性由题名规则筛选，并非全站穷尽。
BV1xa4y1Y7EP,https://www.bilibili.com/video/BV1xa4y1Y7EP/,第16回东方Project人气投票 人妖部门（速报版）,伊吹小秋,2020-06-14,2020-06-14,day,10.4万,104000,7359,7359,24:41,result_or_ranking,jp_poll,16,,东方Project人气投票,2,2,2026-08-23,34个公开搜索结果页逐页采集；按BV去重；相关性由题名规则筛选，并非全站穷尽。
BV1uV411k7Wq,https://www.bilibili.com/video/BV1uV411k7Wq/,人气投票后现状【東方MMD】,圣栢莲,2020-06-15,2020-06-15,day,2.5万,25000,20,20,00:38,meme_or_derivative,region_unspecified,,,东方Project人气投票,22,22,2026-08-23,34个公开搜索结果页逐页采集；按BV去重；相关性由题名规则筛选，并非全站穷尽。
BV1eK411n7Sk,https://www.bilibili.com/video/BV1eK411n7Sk/,（东方MMD）第16回东方Project人气投票：各角色的得分·得票率图表及排行榜,来自M78星云的决心蕾米,2020-06-19,2020-06-19,day,3586,3586,37,37,40:29,meme_or_derivative,jp_poll,16,,东方Project人气投票,6,6,2026-08-23,34个公开搜索结果页逐页采集；按BV去重；相关性由题名规则筛选，并非全站穷尽。
BV1Ck4y1z7dJ,https://www.bilibili.com/video/BV1Ck4y1z7dJ/,【东方MMD】すーぱー☆あふぇくしょん【人气投票上位组】,契丹自由民,2020-06-20,2020-06-20,day,,,,,,meme_or_derivative,region_unspecified,,,东方Project人气投票,33,33,2026-08-23,34个公开搜索结果页逐页采集；按BV去重；相关性由题名规则筛选，并非全站穷尽。
BV1kf4y1y7n5,https://www.bilibili.com/video/BV1kf4y1y7n5/,【动态柱状图】第1回～第16回 東方Project人气投票 历代TOP50,路过的魔法使柚子,2020-06-21,2020-06-21,day,,,,,,longitudinal_analysis,region_unspecified,1;16,,东方Project人气投票,8,8,2026-08-23,34个公开搜索结果页逐页采集；按BV去重；相关性由题名规则筛选，并非全站穷尽。
BV11p4y1D7XS,https://www.bilibili.com/video/BV11p4y1D7XS/,【第16回东方Project人气投票】音乐部门 TOP50（速报版）,木之本灵梦,2020-06-22,2020-06-22,day,,,,,,result_or_ranking,jp_poll,16,,东方Project人气投票,10,10,2026-08-23,34个公开搜索结果页逐页采集；按BV去重；相关性由题名规则筛选，并非全站穷尽。
BV1Vg4y1v7Te,https://www.bilibili.com/video/BV1Vg4y1v7Te/,【東方MMD】2020版 東方第16回人气投票結果,吃瓜看戏龙神,2020-06-26,2020-06-26,day,9.0万,90000,1935,1935,10:09,meme_or_derivative,region_unspecified,16,,东方Project人气投票,1,1,2026-08-23,34个公开搜索结果页逐页采集；按BV去重；相关性由题名规则筛选，并非全站穷尽。
BV1X5411W7oA,https://www.bilibili.com/video/BV1X5411W7oA/,聊聊“妖梦世界第一”的第16回人气投票——《醒东方》13,Z一LGW,2020-06-27,2020-06-27,day,7.5万,75000,722,722,10:56,other_direct_poll_item,region_unspecified,16,魂魄妖梦,东方Project人气投票,5,5,2026-08-23,34个公开搜索结果页逐页采集；按BV去重；相关性由题名规则筛选，并非全站穷尽。
BV1x54y1q7aL,https://www.bilibili.com/video/BV1x54y1q7aL/,第16回东方人气投票 音乐部门TOP15 BGM集,兔子小鹿与你,2020-07-11,2020-07-11,day,,,,,,result_or_ranking,region_unspecified,16,,东方Project人气投票,2,2,2026-08-23,34个公开搜索结果页逐页采集；按BV去重；相关性由题名规则筛选，并非全站穷尽。
BV1wh411Z7yB,https://www.bilibili.com/video/BV1wh411Z7yB/,【第16回东方Project人气投票】综合排名TOP50,木之本灵梦,2020-07-24,2020-07-24,day,6643,6643,295,295,30:13,result_or_ranking,jp_poll,16,,东方Project人气投票,4,4,2026-08-23,34个公开搜索结果页逐页采集；按BV去重；相关性由题名规则筛选，并非全站穷尽。
BV1MC4y1b734,https://www.bilibili.com/video/BV1MC4y1b734/,【东方】使用名场面打开人气之壁，第16回东方project人气投票（推荐观看）,愉悦君子惜,2020-07-26,2020-07-26,day,3.5万,35000,454,454,10:36,other_direct_poll_item,jp_poll,16,,东方Project人气投票,7,7,2026-08-23,34个公开搜索结果页逐页采集；按BV去重；相关性由题名规则筛选，并非全站穷尽。
BV1vk4y117LB,https://www.bilibili.com/video/BV1vk4y117LB/,第16回东方Project人气投票，音乐部门，各作品的一位集,紫风神十七岁,2020-08-08,2020-08-08,day,584,584,1,1,01:14:05,result_or_ranking,jp_poll,16,,东方Project人气投票,2,2,2026-08-23,34个公开搜索结果页逐页采集；按BV去重；相关性由题名规则筛选，并非全站穷尽。
BV1ok4y1C7J4,https://www.bilibili.com/video/BV1ok4y1C7J4/,【第16回东方Project人气投票】～ 各作品第一名【原曲】 ～,紫苑寺水月,2020-10-15,2020-10-15,day,,,,,,other_direct_poll_item,jp_poll,16,,东方Project人气投票,20,20,2026-08-23,34个公开搜索结果页逐页采集；按BV去重；相关性由题名规则筛选，并非全站穷尽。
BV1Py4y1D71S,https://www.bilibili.com/video/BV1Py4y1D71S/,【东方人气投票应援/Fumo】请给可爱的屠自古大人投一票吧！,普通毛领,2020-12-16,2020-12-16,day,2036,2036,0,0,00:21,support_or_mobilization,region_unspecified,,,东方Project人气投票,24,24,2026-08-23,34个公开搜索结果页逐页采集；按BV去重；相关性由题名规则筛选，并非全站穷尽。
BV1BT4y1M7kG,https://www.bilibili.com/video/BV1BT4y1M7kG/,【东方风组曲】人气投票应援作!! 绀珠传风组曲 !! | 柳下异星之瀑,榆木华,2020-12-18,2020-12-18,day,4886,4886,9,9,01:36,support_or_mobilization,region_unspecified,,,东方Project人气投票,15,15,2026-08-23,34个公开搜索结果页逐页采集；按BV去重；相关性由题名规则筛选，并非全站穷尽。
BV1X5411G72g,https://www.bilibili.com/video/BV1X5411G72g/,【东方MMD】響喜乱舞【第⑨回中华东方人气投票幽幽子应援】,西行寺士官长,2020-12-20,2020-12-20,day,,,,,,support_or_mobilization,region_unspecified,,西行寺幽幽子,东方Project人气投票,15,15,2026-08-23,34个公开搜索结果页逐页采集；按BV去重；相关性由题名规则筛选，并非全站穷尽。
BV1Qi4y1c7Rf,https://www.bilibili.com/video/BV1Qi4y1c7Rf/,【东方人气投票】偶像に世界を委ねて ～ Idoratrize World,斩杀嫦娥的纯狐酱,2020-12-24,2020-12-24,day,261,261,1,1,04:24,other_direct_poll_item,region_unspecified,,,东方Project人气投票,8,8,2026-08-23,34个公开搜索结果页逐页采集；按BV去重；相关性由题名规则筛选，并非全站穷尽。
BV1Xy4y1i7xo,https://www.bilibili.com/video/BV1Xy4y1i7xo/,【东方人气投票】大哥哥——芙兰想要票票可以嘛——,绯红の芙兰酱,2020-12-28,2020-12-28,day,2114,2114,4,4,03:19,other_direct_poll_item,region_unspecified,,芙兰朵露·斯卡蕾特,东方Project人气投票,24,24,2026-08-23,34个公开搜索结果页逐页采集；按BV去重；相关性由题名规则筛选，并非全站穷尽。
BV1SK411M7Ds,https://www.bilibili.com/video/BV1SK411M7Ds/,第9回中文东方人气投票 音乐部分,北溟开江鱼,2021-01-08,2021-01-08,day,2622,2622,300,300,59:08,other_direct_poll_item,cn_poll,9,,东方Project人气投票,26,26,2026-08-23,34个公开搜索结果页逐页采集；按BV去重；相关性由题名规则筛选，并非全站穷尽。
BV1xX4y1M7Z9,https://www.bilibili.com/video/BV1xX4y1M7Z9/,【第⑨届中文东方人气投票】角色人气数据盘点,火焔猫猫,2021-01-10,2021-01-10,day,3176,3176,62,62,06:12,other_direct_poll_item,cn_poll,,,东方Project人气投票,6,6,2026-08-23,34个公开搜索结果页逐页采集；按BV去重；相关性由题名规则筛选，并非全站穷尽。
BV11T4y1N7WP,https://www.bilibili.com/video/BV11T4y1N7WP/,【第⑨届天朝东方人气投票】音乐部门Top50+详细数据盘点,迷途黑猫-橙,2021-01-11,2021-01-11,day,4.5万,45000,1570,1570,35:26,result_or_ranking,region_unspecified,,,东方Project人气投票,7,7,2026-08-23,34个公开搜索结果页逐页采集；按BV去重；相关性由题名规则筛选，并非全站穷尽。
BV1jA411H7Ux,https://www.bilibili.com/video/BV1jA411H7Ux/,【东方】第⑨届中文东方人气投票结果（角色部分1-150名）,火焔猫猫,2021-01-17,2021-01-17,day,1.3万,13000,490,490,20:16,result_or_ranking,cn_poll,,,东方Project人气投票,14,14,2026-08-23,34个公开搜索结果页逐页采集；按BV去重；相关性由题名规则筛选，并非全站穷尽。
BV1pt4y1B7X2,https://www.bilibili.com/video/BV1pt4y1B7X2/,第16回东方Project人气投票Ex CP部门（速报）,伊吹小秋,2021-01-31,2021-01-31,day,6.1万,61000,1893,1893,15:23,result_or_ranking,jp_poll,16,,东方Project人气投票,2,2,2026-08-23,34个公开搜索结果页逐页采集；按BV去重；相关性由题名规则筛选，并非全站穷尽。
BV1wz4y1m7Ck,https://www.bilibili.com/video/BV1wz4y1m7Ck/,第16回东方Project人气投票 音乐部门排行 TOP200,流泪哭哭馒,2021-02-23,2021-02-23,day,,,,,,result_or_ranking,jp_poll,16,,东方Project人气投票,6,6,2026-08-23,34个公开搜索结果页逐页采集；按BV去重；相关性由题名规则筛选，并非全站穷尽。
BV16o4y1275Y,https://www.bilibili.com/video/BV16o4y1275Y/,【日中比较】东方Project人气投票 第9回 ランキング,袿姬家的人类灵,2021-05-09,2021-05-09,day,492,492,0,0,14:04,longitudinal_analysis,jp_poll,9,,东方Project人气投票,10,10,2026-08-23,34个公开搜索结果页逐页采集；按BV去重；相关性由题名规则筛选，并非全站穷尽。
BV1HQ4y1y7gK,https://www.bilibili.com/video/BV1HQ4y1y7gK/,【东方MMD】第17回东方人气投票支援企划告知动画【元首的愤怒】【字幕在简介】,鲤志_周年组,2021-09-09,2021-09-09,day,895,895,0,0,01:01,support_or_mobilization,region_unspecified,17,,东方Project人气投票,24,24,2026-08-23,34个公开搜索结果页逐页采集；按BV去重；相关性由题名规则筛选，并非全站穷尽。
BV17M4y1377F,https://www.bilibili.com/video/BV17M4y1377F/,【第17回东方人气投票支援】偶像に世界を委ねて,北燐_,2021-09-26,2021-09-26,day,3619,3619,13,13,04:54,support_or_mobilization,region_unspecified,17,,东方Project人气投票,12,12,2026-08-23,34个公开搜索结果页逐页采集；按BV去重；相关性由题名规则筛选，并非全站穷尽。
BV18L4y1z7RF,https://www.bilibili.com/video/BV18L4y1z7RF/,当你用谷歌网页翻译来翻译东方人气投票列表,Lofi_Sky,2021-10-01,2021-10-01,day,567,567,44,44,03:05,other_direct_poll_item,region_unspecified,,,东方Project人气投票,5,5,2026-08-23,34个公开搜索结果页逐页采集；按BV去重；相关性由题名规则筛选，并非全站穷尽。
BV1hL4y1z7bA,https://www.bilibili.com/video/BV1hL4y1z7bA/,【东方MMD】少女们在人气投票投了谁,Bob_Cattier华仔,2021-10-01,2021-10-01,day,1.2万,12000,361,361,05:46,meme_or_derivative,region_unspecified,,,东方Project人气投票,21,21,2026-08-23,34个公开搜索结果页逐页采集；按BV去重；相关性由题名规则筛选，并非全站穷尽。
BV1kT4y1Z7o6,https://www.bilibili.com/video/BV1kT4y1Z7o6/,第17回东方Project人气投票 人妖部门,伊吹小秋,2021-10-03,2021-10-03,day,19.1万,191000,7485,7485,25:51,result_or_ranking,jp_poll,17,,东方Project人气投票,1,1,2026-08-23,34个公开搜索结果页逐页采集；按BV去重；相关性由题名规则筛选，并非全站穷尽。
BV1pR4y1n7an,https://www.bilibili.com/video/BV1pR4y1n7an/,当你用360翻译浏览第17届东方人气投票…………,Zarz灵光,2021-10-03,2021-10-03,day,445,445,4,4,09:22,other_direct_poll_item,region_unspecified,17,,东方Project人气投票,33,33,2026-08-23,34个公开搜索结果页逐页采集；按BV去重；相关性由题名规则筛选，并非全站穷尽。
